,name,price,tradding-value
0,PLA,$0.946438,"$7,714,669"
1,STSOL,$105.30,"$2,803,080"
2,ARRR,$1.76,"$391,530"
3,ENS,$14.37,"$15,960,139"
4,VVS,$0.000023139968,"$2,618,049"
5,SYS,$0.522660,"$4,630,734"
6,REN,$0.331247,"$24,281,370"
7,CKB,$0.010734931331,"$3,274,763"
8,CFX,$0.189387,"$58,584,279"
9,LSK,$2.16,"$3,677,639"
10,MPL,$62.70,"$5,892,861"
11,KEEP,$0.547869,"$1,074,086"
12,HUSD,$1.00,"$12,426,288"
13,MIMATIC,$1.00,"$24,622,480"
14,CELR,$0.052201323475,"$78,145,410"
15,XDB,$0.382648,"$3,824,545"
16,C98,$1.57,"$13,261,146"
17,FLEX,$3.68,"$1,028,375,424"
18,PYR,$12.11,"$36,033,114"
19,XNO,$2.17,"$13,724,607"
20,WIN,$0.000294700445,"$49,608,512"
21,WRX,$0.617414,"$2,346,015"
22,UOS,$1.04,"$3,082,066"
23,FLOKI,$0.000030562031,"$10,264,981"
24,SAFEMOON,$0.000000552728,$120.20
25,EVER,$0.225090,"$3,331,068"
26,XPRT,$2.83,"$1,246,578"
27,GMX,$36.43,"$2,019,624"
28,SNT,$0.069596778262,"$26,442,087"
29,DENT,$0.002859395258,"$29,033,752"
30,RAY,$2.75,"$10,726,456"
31,TRIBE,$0.586884,"$18,090,556"
32,PEOPLE,$0.052894947184,"$50,615,232"
33,BSW,$1.14,"$50,338,784"
34,COTI,$0.254215,"$24,966,246"
35,MXC,$0.108447,"$17,574,430"
36,PERP,$3.99,"$15,055,090"
37,EXRD,$0.137511,"$1,196,832"
38,ZMT,$2.92,"$15,278,062"
39,INJ,$5.30,"$5,656,885"
40,METIS,$84.10,"$10,905,067"
41,JOE,$1.17,"$5,355,949"
42,DAO,$2.76,"$3,229,689"
43,OGN,$0.521010,"$70,373,807"
44,TOKE,$18.77,"$1,404,819"
45,AURORA,$10.73,"$2,368,135"
46,FX,$0.518669,"$2,426,544"
47,MED,$0.046035204606,"$5,289,825"
48,CHR,$0.430856,"$35,013,122"
49,MX,$2.38,"$373,552"
50,API3,$4.62,"$97,290,763"
51,MIR,$1.59,"$17,564,263"
52,DPX,"$1,276.08","$1,578,532"
53,ERG,$4.41,"$763,938"
54,CET,$0.064255440529,"$428,780"
55,XSUSHI,$4.20,"$149,954"
56,XCH,$63.09,"$8,038,589"
57,FET,$0.336457,"$24,468,473"
58,KNCL,$4.39,"$294,371,406"
59,ELG,$3.24,"$467,888"
60,XYO,$0.018074030074,"$3,478,316"
61,BOBA,$1.43,"$2,533,326"
62,RON,$1.53,"$319,887"
63,MOVR,$57.87,"$16,395,854"
64,ORBS,$0.078174864147,"$2,400,274"
65,CTC,$1.09,"$2,490,476"
66,CRTS,$0.003262022743,"$4,494,531"
67,PUNDIX,$0.867906,"$8,098,500"
68,SAVAX,$77.58,"$2,056,162"
69,EURT,$1.08,"$3,021,467"
70,POWR,$0.515800,"$24,396,243"
71,ARDR,$0.220212,"$4,258,825"
72,MC,$2.16,"$4,139,313"
73,OCEAN,$0.501410,"$8,752,345"
74,EWT,$5.00,"$890,042"
75,TRAC,$0.571866,"$1,327,133"
76,MASK,$4.38,"$28,587,035"
77,UFO,$0.000008031717,"$5,031,502"
78,HERO,$0.038893685738,"$5,575,004"
79,MULTI,$11.10,"$9,876,117"
80,AKT,$1.29,"$881,476"
81,TLOS,$0.764651,"$5,425,997"
82,VTHO,$0.004379160378,"$12,155,842"
83,CVC,$0.295012,"$20,666,965"
84,MLK,$0.872788,"$6,109,890"
85,MDX,$0.225745,"$4,262,014"
86,TSHARE,"$5,009.81","$25,680,924"
87,RAD,$4.74,"$22,461,250"
88,YGG,$2.23,"$13,307,391"
89,GUSD,$1.00,"$1,610,293"
90,CTSI,$0.365576,"$8,114,540"
91,EPS,$0.271282,"$58,302,251"
92,LYXE,$12.44,"$586,495"
93,RSR,$0.014155882144,"$79,227,114"
94,ALUSD,$0.997130,"$634,421"
95,SUPER,$0.642828,"$9,170,173"
96,BTRFLY,$219.69,"$2,127,832"
97,DIVI,$0.064552406461,"$330,985"
98,SETH2,"$3,040.24","$200,705"
99,STMX,$0.018852113736,"$5,267,349"
