,Unnamed: 0,name,price,tradding-value
0,0,BTC,"$40,562.11","$20,769,157,154"
1,1,ETH,"$3,050.63","$11,470,905,134"
2,2,USDT,$1.00,"$37,906,967,172"
3,3,BNB,$416.93,"$872,144,469"
4,4,USDC,$0.999886,"$5,392,336,318"
5,5,XRP,$0.787717,"$3,700,279,882"
6,6,SOL,$101.79,"$982,103,925"
7,7,ADA,$0.958275,"$553,440,539"
8,8,LUNA,$80.66,"$1,164,986,500"
9,9,AVAX,$77.16,"$538,834,127"
10,10,DOT,$18.42,"$395,845,357"
11,11,DOGE,$0.146944,"$1,134,871,288"
12,12,BUSD,$0.998964,"$2,622,933,414"
13,13,UST,$1.00,"$447,656,567"
14,14,SHIB,$0.000025932788,"$447,321,118"
15,15,WBTC,"$40,572.20","$150,213,445"
16,16,NEAR,$16.15,"$665,649,543"
17,17,CRO,$0.409554,"$49,595,069"
18,18,STETH,"$3,049.20","$7,743,361"
19,19,MATIC,$1.39,"$323,750,603"
20,20,DAI,$1.00,"$182,252,394"
21,21,LTC,$112.11,"$670,638,470"
22,22,ATOM,$24.27,"$333,057,866"
23,23,LINK,$14.15,"$375,428,059"
24,24,BCH,$341.81,"$1,201,328,655"
25,25,TRX,$0.062138493297,"$1,023,429,863"
26,26,FTT,$42.91,"$157,158,059"
27,27,LEO,$5.85,"$2,567,045"
28,28,OKB,$20.36,"$47,425,044"
29,29,ETC,$38.46,"$389,084,509"
30,30,XLM,$0.205603,"$310,760,061"
31,31,ALGO,$0.742284,"$145,139,781"
32,32,UNI,$9.79,"$170,237,390"
33,33,XMR,$232.90,"$165,742,374"
34,34,VET,$0.062064445628,"$198,685,813"
35,35,HBAR,$0.200470,"$32,794,202"
36,36,ICP,$16.91,"$99,295,379"
37,37,AXS,$48.21,"$331,769,766"
38,38,FIL,$19.14,"$186,882,410"
39,39,EGLD,$155.59,"$61,884,600"
40,40,APE,$12.18,"$422,940,119"
41,41,SAND,$2.89,"$215,425,881"
42,42,MANA,$2.18,"$209,834,320"
43,43,CETH,$61.02,$290.93
44,44,THETA,$3.06,"$91,759,945"
45,45,FTM,$1.17,"$331,113,336"
46,46,XTZ,$3.23,"$231,110,938"
47,47,MIM,$0.999561,"$18,834,660"
48,48,KLAY,$1.00,"$26,516,240"
49,49,FRAX,$1.00,"$13,346,862"
50,50,RUNE,$8.38,"$126,870,736"
51,51,EOS,$2.47,"$456,724,655"
52,52,GRT,$0.365175,"$86,132,750"
53,53,AAVE,$174.70,"$166,137,766"
54,54,CAKE,$8.14,"$106,457,717"
55,55,DFI,$4.33,"$12,922,337"
56,56,WAVES,$21.99,"$577,920,880"
57,57,FLOW,$5.91,"$53,860,912"
58,58,HNT,$20.52,"$7,014,922"
59,59,OSMO,$5.91,"$36,984,395"
60,60,KCS,$20.09,"$9,834,104"
61,61,CUSDC,$0.022579699733,$0.000000000000
62,62,TFUEL,$0.167856,"$8,063,418"
63,63,MIOTA,$0.675931,"$36,130,350"
64,64,BTT,$0.000001994680,"$160,689,578"
65,65,ZEC,$146.53,"$135,998,960"
66,66,XEC,$0.000093101206,"$19,371,796"
67,67,MKR,"$1,905.60","$83,422,644"
68,68,FXS,$29.09,"$11,369,605"
69,69,CVX,$28.56,"$9,504,311"
70,70,XCN,$0.098368484353,"$214,026,528"
71,71,BSV,$86.15,"$43,836,248"
72,72,CDAI,$0.021976937280,$0.000000000000
73,73,HBTC,"$40,501.71","$328,731"
74,74,ZIL,$0.110861,"$378,436,216"
75,75,GALA,$0.204777,"$190,305,328"
76,76,KSM,$171.06,"$96,164,710"
77,77,AR,$30.52,"$12,475,761"
78,78,NEO,$21.55,"$107,218,337"
79,79,QNT,$112.50,"$64,059,808"
80,80,ONE,$0.122849,"$51,893,672"
81,81,HT,$9.45,"$35,684,065"
82,82,ENJ,$1.54,"$123,332,861"
83,83,CELO,$3.22,"$68,711,731"
84,84,TUSD,$1.00,"$81,576,320"
85,85,GMT,$2.27,"$579,095,388"
86,86,NEXO,$2.41,"$11,656,498"
87,87,XRD,$0.137508,"$225,550"
88,88,HEART,$0.030303356018,"$479,382"
89,89,CHZ,$0.239108,"$132,386,143"
90,90,STX,$1.19,"$10,610,153"
91,91,SNX,$5.46,"$101,964,719"
92,92,DASH,$110.16,"$204,985,691"
