,Currency Name,Circulating-Supply,Total-Supply,Market Cap
0,Bitcoin (BTC),"19,013,075","21,000,000","$768,767,115,074"
1,Ethereum (ETH),"120,398,815",∞,"$365,844,823,732"
2,Tether (USDT),"82,718,361,449","82,718,361,449","$82,762,728,012"
3,BNB (BNB),"168,137,035","168,137,035","$69,767,443,579"
4,USD Coin (USDC),"50,098,517,810","50,098,517,810","$50,087,112,004"
5,XRP (XRP),"48,135,209,660","100,000,000,000","$37,506,324,281"
6,Solana (SOL),"332,980,228","508,180,963","$33,819,521,255"
7,Cardano (ADA),"32,066,390,668","45,000,000,000","$30,750,236,095"
8,Terra (LUNA),"358,965,134","742,310,078","$28,957,868,690"
9,Avalanche (AVAX),"268,273,118","377,752,194","$20,694,391,557"
10,Polkadot (DOT),"1,103,212,631","1,184,161,764","$20,228,728,346"
11,Dogecoin (DOGE),"132,670,764,299",∞,"$19,344,033,712"
12,Binance USD (BUSD),"17,452,873,295","17,452,873,295","$17,451,126,733"
13,TerraUSD (UST),"17,246,160,870","17,245,759,443","$17,324,378,968"
14,Shiba Inu (SHIB),"549,146,987,315,505","1,000,000,000,000,000","$14,200,204,881"
15,Wrapped Bitcoin (WBTC),"278,056","278,056","$11,248,515,598"
16,NEAR Protocol (NEAR),"673,726,592","1,000,000,000","$10,808,738,508"
17,Cronos (CRO),"25,263,013,692","30,263,013,692","$10,357,142,797"
18,Lido Staked Ether (STETH),"3,377,930","3,377,930","$10,258,764,646"
19,Polygon (MATIC),"6,872,890,164","10,000,000,000","$9,544,715,396"
20,Dai (DAI),"8,782,288,348","8,782,288,348","$8,786,071,561"
21,Litecoin (LTC),"70,079,820","84,000,000","$7,827,884,391"
22,Cosmos Hub (ATOM),"292,586,163",∞,"$7,091,409,084"
23,Chainlink (LINK),"467,009,549","1,000,000,000","$6,549,110,540"
24,Bitcoin Cash (BCH),"19,037,949","21,000,000","$6,541,425,462"
25,TRON (TRX),"101,653,097,182","101,900,409,184","$6,297,445,326"
26,FTX Token (FTT),"137,072,627","332,941,963","$5,870,885,708"
27,LEO Token (LEO),"936,461,999","985,239,504","$5,472,139,293"
28,OKB (OKB),"260,143,733","300,000,000","$5,314,042,345"
29,Ethereum Classic (ETC),"134,239,677","210,700,000","$5,170,032,779"
30,Stellar (XLM),"24,776,489,682","50,001,787,916","$5,078,879,096"
31,Algorand (ALGO),"6,709,799,314","7,140,650,104","$4,953,898,781"
32,Uniswap (UNI),"456,489,583","1,000,000,000","$4,452,800,768"
33,Monero (XMR),"18,108,134",∞,"$4,140,134,395"
34,VeChain (VET),"66,760,741,299","86,712,634,466","$4,125,580,847"
35,Hedera (HBAR),"20,058,481,700","50,000,000,000","$3,998,557,846"
36,Internet Computer (ICP),"224,562,736","480,076,843","$3,806,128,670"
37,Axie Infinity (AXS),"77,380,525","270,000,000","$3,707,299,220"
38,Filecoin (FIL),"193,576,266","1,970,214,582","$3,687,489,276"
39,Elrond (EGLD),"22,189,944","23,519,944","$3,439,995,933"
40,ApeCoin (APE),"277,500,000","1,000,000,000","$3,346,974,085"
41,The Sandbox (SAND),"1,158,437,853","3,000,000,000","$3,319,642,123"
42,Decentraland (MANA),"1,515,882,250","2,193,700,127","$3,274,775,050"
43,cETH (CETH),"52,226,907","52,226,907","$3,188,261,267"
44,Theta Network (THETA),"1,000,000,000","1,000,000,000","$3,048,262,923"
45,Fantom (FTM),"2,541,152,731","3,175,000,000","$2,983,134,429"
46,Tezos (XTZ),"883,505,803",∞,"$2,874,553,871"
47,Magic Internet Money (MIM),"2,815,292,970","2,815,292,970","$2,814,383,830"
48,Klaytn (KLAY),"2,782,918,313",∞,"$2,777,536,216"
49,Frax (FRAX),"2,697,095,597","2,697,095,597","$2,699,346,068"
50,THORChain (RUNE),"300,755,174","500,000,000","$2,517,622,915"
51,The Graph (GRT),"6,697,271,696","10,000,000,000","$2,442,993,405"
52,EOS (EOS),"991,126,114",∞,"$2,434,192,384"
53,Aave (AAVE),"13,681,079","16,000,000","$2,375,122,181"
54,PancakeSwap (CAKE),"286,030,456",∞,"$2,309,995,839"
55,DeFiChain (DFI),"517,163,762","1,200,000,000","$2,234,564,721"
56,Waves (WAVES),"100,000,000","100,000,000","$2,189,935,774"
57,Flow (FLOW),"360,253,415","1,415,704,513","$2,119,582,679"
58,Helium (HNT),"100,539,361","223,000,000","$2,059,862,287"
59,Osmosis (OSMO),"346,573,958","325,000,000","$2,030,663,287"
60,KuCoin Token (KCS),"98,379,860","145,879,860","$1,968,085,930"
61,cUSDC (CUSDC),"85,654,576,340","85,654,576,340","$1,934,421,001"
62,Theta Fuel (TFUEL),?,"5,301,200,000","$1,886,178,774"
63,IOTA (MIOTA),"2,779,530,283","2,779,530,283","$1,873,050,143"
64,BitTorrent (BTT),"926,521,428,571,000","990,000,000,000,000","$1,832,839,670"
65,Zcash (ZEC),"12,339,212","21,000,000","$1,793,029,624"
66,eCash (XEC),"19,034,135,923,313","21,000,000,000,000","$1,774,802,931"
67,Maker (MKR),"901,310","977,631","$1,709,876,233"
68,Frax Share (FXS),"57,730,568","98,997,202","$1,653,969,816"
69,Convex Finance (CVX),"57,780,146","88,448,297","$1,644,338,454"
70,cDAI (CDAI),"74,403,976,988","74,403,976,988","$1,635,546,717"
71,Bitcoin SV (BSV),"19,033,620","21,000,000","$1,627,947,202"
72,Huobi BTC (HBTC),"39,884","39,884","$1,613,060,685"
73,Chain (XCN),"16,722,977,035","68,895,442,185","$1,609,672,540"
74,Zilliqa (ZIL),"14,197,387,900","21,000,000,000","$1,570,798,851"
75,Kusama (KSM),"8,980,098","10,000,000","$1,549,102,597"
76,Gala (GALA),"7,542,496,572","37,265,419,936","$1,534,324,555"
77,Arweave (AR),"50,108,502","64,598,643","$1,516,209,746"
78,NEO (NEO),"70,530,000","100,000,000","$1,514,099,278"
79,Quant (QNT),"13,413,953","14,612,493","$1,506,294,289"
80,Huobi Token (HT),"155,075,747","500,000,000","$1,465,363,798"
81,Harmony (ONE),"11,945,584,127","13,156,044,839","$1,463,182,189"
82,Enjin Coin (ENJ),"934,340,659","1,000,000,000","$1,415,480,977"
83,STEPN (GMT),"600,000,000","6,000,000,000","$1,389,776,612"
84,Celo (CELO),"433,213,075","1,000,000,000","$1,389,596,490"
85,TrueUSD (TUSD),"1,367,892,982","1,367,892,982","$1,367,839,951"
86,Radix (XRD),"9,840,024,863","12,240,024,863","$1,350,777,688"
87,NEXO (NEXO),"560,000,010","1,000,000,000","$1,343,025,550"
88,Humans.ai (HEART),?,"7,800,000,000","$1,309,127,902"
89,Chiliz (CHZ),"5,344,064,580","8,888,888,888","$1,264,297,224"
90,Stacks (STX),"1,052,561,461","1,352,464,600","$1,249,175,665"
91,Synthetix Network Token (SNX),"218,478,226","253,382,656","$1,170,980,045"
92,Dash (DASH),"10,677,253","18,920,000","$1,164,292,522"
93,Basic Attention Token (BAT),"1,499,204,734","1,500,000,000","$1,130,581,762"
94,BitDAO (BIT),"920,246,918","10,000,000,000","$1,122,000,622"
95,Loopring (LRC),"1,245,991,468","1,373,873,440","$1,110,649,480"
96,Mina Protocol (MINA),"461,446,840","909,623,692","$1,088,476,145"
97,Amp (AMP),"48,013,928,909","99,443,836,655","$1,086,785,091"
98,Pax Dollar (USDP),"1,007,241,573","1,007,241,573","$1,007,640,640"
99,GateToken (GT),"151,758,801","300,000,000","$994,416,633"
100,Neutrino USD (USDN),"992,960,218","992,959,425","$985,296,243"
101,Celsius Network (CEL),"423,415,980","693,684,030","$966,568,260"
102,Compound (COMP),"6,709,359","10,000,000","$953,947,877"
103,Kadena (KDA),"171,287,601","1,000,000,000","$953,937,383"
104,Moonbeam (GLMR),"228,092,142","1,015,475,729","$937,224,152"
105,NEM (XEM),"8,999,999,999","8,999,999,999","$911,411,417"
106,Holo (HOT),"177,619,433,541","177,619,433,541","$891,888,253"
107,Lido DAO (LDO),"294,528,077","996,308,500","$885,685,949"
108,Curve DAO Token (CRV),"391,958,099","1,728,120,895","$874,297,548"
109,LINK (LN),"6,026,027","6,095,959","$833,256,450"
110,Secret (SCRT),"167,568,121",∞,"$828,106,889"
111,Audius (AUDIO),"620,805,326","1,089,039,886","$823,050,120"
112,Oasis Network (ROSE),"3,490,000,000","10,000,000,000","$808,371,377"
113,JUNO (JUNO),"47,610,953","77,073,175","$785,961,821"
114,Decred (DCR),"13,938,807","21,000,000","$783,670,484"
115,OEC Token (OKT),"15,586,148","15,586,087","$757,407,873"
116,Pocket Network (POKT),"959,493,496","1,105,086,026","$746,920,525"
117,Astar (ASTR),"3,088,328,321","7,206,049,357","$742,331,702"
118,Kava (KAVA),"174,713,252","182,164,954","$740,566,937"
119,ECOMI (OMI),"268,739,419,003","310,884,471,276","$733,610,783"
120,cUSDT (CUSDT),"33,221,248,974","33,221,248,974","$723,173,586"
121,Qtum (QTUM),"104,124,941","107,822,406","$721,334,747"
122,Anchor Protocol (ANC),"338,355,869","1,000,000,000","$721,012,913"
123,IoTeX (IOTX),"9,490,829,322","9,496,266,827","$710,020,743"
124,Nexus Mutual (NXM),"6,884,836","6,884,836","$705,251,616"
125,Xido Finance (XIDO),"28,314,463","100,000,000","$699,829,015"
126,IOST (IOST),"23,147,378,385","23,147,378,385","$684,986,270"
127,Smooth Love Potion (SLP),"39,950,978,613",∞,"$680,136,762"
128,yearn.finance (YFI),"35,628","36,666","$678,516,101"
129,Marinade staked SOL (MSOL),"6,364,041","6,364,041","$673,400,834"
130,OMG Network (OMG),"140,245,398","140,245,398","$670,910,542"
131,XDC Network (XDC),"12,238,141,964","37,599,520,715","$666,911,508"
132,Serum (SRM),"269,845,013","1,092,844,982","$666,624,729"
133,SKALE (SKL),"3,473,102,671","4,677,636,454","$664,913,291"
134,Gnosis (GNO),"1,865,027","10,000,000","$649,975,985"
135,Sushi (SUSHI),"192,789,255","241,607,380","$634,715,746"
136,Bitcoin Gold (BTG),"17,513,924","21,000,000","$633,347,324"
137,PAX Gold (PAXG),"317,658","317,658","$629,131,184"
138,1inch (1INCH),"414,970,437","1,500,000,000","$628,980,820"
139,0x (ZRX),"847,496,054","1,000,000,000","$621,597,723"
140,Ankr (ANKR),"8,162,899,377","10,000,000,000","$620,190,994"
141,Bitkub Coin (KUB),"88,750,000","110,000,000","$613,088,569"
142,SXP (SXP),"481,184,189","521,983,616","$603,980,859"
143,ICON (ICX),"762,462,850",?,"$599,354,371"
144,Bancor Network Token (BNT),"259,657,177","259,657,177","$591,324,740"
145,Ravencoin (RVN),"10,473,290,000","21,000,000,000","$577,117,791"
146,Livepeer (LPT),"24,918,514","24,918,514","$578,643,060"
147,JUST (JST),"7,300,425,000","9,900,000,000","$565,737,801"
148,Acala (ACA),"371,777,051","1,000,000,000","$563,145,416"
149,Radio Caca (RACA),"299,101,938,602","431,418,233,271","$561,025,475"
150,Fei USD (FEI),"559,138,044","559,496,382","$559,322,207"
151,WAX (WAXP),"1,965,838,536","3,770,303,327","$543,588,280"
152,Rocket Pool (RPL),"16,191,801","18,000,000","$540,365,059"
153,Siacoin (SC),"50,693,775,000",?,"$539,556,087"
154,Sapphire (SAPP),"873,445,467","3,000,000,000","$531,514,478"
155,Synapse (SYN),"182,087,647",?,"$499,785,122"
156,Songbird (SGB),"7,869,506,219","15,846,575,342","$498,053,437"
157,Velas (VLX),"2,287,858,432","2,287,858,433","$495,980,622"
158,Tether Gold (XAUT),"246,524","246,524","$492,670,843"
159,Render Token (RNDR),"242,706,715","530,962,614","$491,176,764"
160,Liquity USD (LUSD),"490,068,123","490,068,123","$490,974,243"
161,renBTC (RENBTC),"12,063","12,063","$487,116,850"
162,WOO Network (WOO),"1,018,281,275","2,986,168,441","$481,773,514"
163,Horizen (ZEN),"12,281,875","21,000,000","$474,913,584"
164,SafeMoon (SFM),"565,016,962,365","1,000,000,000,000","$473,945,519"
165,APENFT (NFT),"277,080,562,500,000","999,990,000,000,000","$461,934,436"
166,Decentralized Social (DESO),"10,532,253","10,808,492","$457,454,276"
167,Kyber Network Crystal (KNC),"102,522,603","196,464,439","$454,815,549"
168,Ontology (ONT),"875,249,524","1,000,000,000","$452,619,081"
169,Rally (RLY),"2,644,297,730","15,000,000,000","$442,874,576"
170,Dogelon Mars (ELON),"552,218,605,664,434","1,000,000,000,000,000","$441,731,169"
171,Convex CRV (CVXCRV),"198,772,723","198,772,723","$439,357,509"
172,Olympus (OHM),"16,329,157","17,963,337","$439,286,651"
173,SwissBorg (CHSB),"951,754,603","1,000,000,000","$432,018,838"
174,Golem (GLM),"1,000,000,000","1,000,000,000","$433,021,497"
175,Astroport (ASTRO),"124,030,732","1,000,000,000","$426,907,892"
176,dYdX (DYDX),"90,978,949","1,000,000,000","$424,813,891"
177,UMA (UMA),"65,885,067","106,767,719","$419,689,044"
178,Immutable X (IMX),"235,284,001","2,000,000,000","$418,051,687"
179,Baby Doge Coin (BABYDOGE),"159,278,394,658,793,747","420,000,000,000,000,000","$411,267,415"
180,Constellation (DAG),"2,542,651,051","3,550,000,000","$413,042,267"
181,Everdome (DOME),"9,737,096,372","100,000,000,000","$396,613,132"
182,Telcoin (TEL),"61,585,879,320","100,000,000,000","$384,899,955"
183,DigiByte (DGB),"15,256,995,520","21,000,000,000","$381,505,406"
184,NuCypher (NU),"974,389,933","3,885,390,081","$376,395,886"
185,DeFi Kingdoms (JEWEL),"80,153,514","359,525,413","$376,140,052"
186,Trust Wallet Token (TWT),"346,951,186","1,000,000,000","$374,932,707"
187,Spell Token (SPELL),"86,384,665,597","196,008,739,620","$371,775,438"
188,TitanSwap (TITAN),"100,000,000","10,000,000,000","$372,339,059"
189,Polymath (POLY),"898,550,829","1,000,000,000","$367,849,686"
190,Mobox (MBOX),"132,851,359","499,249,596","$367,736,776"
191,Tomb (TOMB),"310,414,326","310,414,337","$360,187,988"
192,LooksRare (LOOKS),"245,569,744","516,739,620","$357,606,077"
193,PLEX (PLEX),"251,792,782","414,720,000","$356,631,537"
194,CEEK Smart VR Token (CEEK),"739,647,761","1,000,000,000","$352,377,527"
195,Tenset (10SET),"88,030,169","198,137,090","$352,503,917"
196,Hive (HIVE),"371,261,453",∞,"$349,623,997"
197,Casper Network (CSPR),"4,520,733,640","10,801,586,562","$347,001,283"
198,Illuvium (ILV),"650,861","7,000,000","$346,933,046"
199,Flux (FLUX),"231,422,554","440,000,000","$343,701,804"
